number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_conv_channels_1,params_conv_channels_2,params_conv_channels_3,params_disc_hidden_1,params_disc_hidden_2,params_dropout,params_fusion_hidden,params_kernel_size,params_lr,params_n_conv_layers,params_optimizer,params_stride,params_use_batchnorm,state
81,0.695281124497992,2026-05-06 21:08:58.418709,2026-05-06 21:09:14.726123,0 days 00:00:16.307414,0.5161403834198887,64.0,128.0,8.0,8.0,32.0,64.0,0.10437036306339312,256.0,5.0,0.00046802350856052206,1,AdamW,10,True,COMPLETE
41,0.6919039795545818,2026-05-06 20:59:38.718342,2026-05-06 20:59:55.477704,0 days 00:00:16.759362,0.5119575336537245,64.0,128.0,8.0,16.0,32.0,16.0,0.1293117264415991,128.0,5.0,0.0006969407068569164,1,AdamW,10,True,COMPLETE
84,0.6906717780211756,2026-05-06 21:09:45.822041,2026-05-06 21:10:02.043396,0 days 00:00:16.221355,0.4677322036280178,64.0,128.0,8.0,8.0,32.0,64.0,0.15302571809717785,256.0,3.0,0.0001853330525358601,1,AdamW,10,True,COMPLETE
91,0.6886789582572715,2026-05-06 21:11:29.633046,2026-05-06 21:11:46.212407,0 days 00:00:16.579361,0.5359780200370795,64.0,128.0,8.0,8.0,32.0,64.0,0.11130918165322765,256.0,5.0,0.000431407695196082,1,AdamW,10,True,COMPLETE
46,0.6879335523913838,2026-05-06 21:00:57.488424,2026-05-06 21:01:13.734058,0 days 00:00:16.245634,0.3540230828728232,64.0,128.0,8.0,16.0,32.0,16.0,0.2352488403577912,128.0,5.0,0.00036592829369321575,1,AdamW,10,True,COMPLETE
23,0.6869143239625167,2026-05-06 20:56:06.589911,2026-05-06 20:56:22.783611,0 days 00:00:16.193700,0.5318039871074913,64.0,128.0,8.0,8.0,32.0,64.0,0.15686565869241603,256.0,5.0,0.0005993974713476169,1,AdamW,10,True,COMPLETE
20,0.6855147864184009,2026-05-06 20:55:17.427682,2026-05-06 20:55:33.954143,0 days 00:00:16.526461,0.5336850294930071,64.0,128.0,8.0,8.0,32.0,64.0,0.07425166362434045,256.0,5.0,0.00048470050434636016,1,AdamW,10,True,COMPLETE
43,0.6828221978824388,2026-05-06 21:00:12.117901,2026-05-06 21:00:28.752118,0 days 00:00:16.634217,0.4335828380406054,64.0,128.0,8.0,16.0,32.0,16.0,0.1144169301972337,128.0,5.0,0.0009356933640644063,1,AdamW,10,True,COMPLETE
73,0.6820463672873311,2026-05-06 21:07:27.571012,2026-05-06 21:07:44.160888,0 days 00:00:16.589876,0.6292976974394237,64.0,128.0,8.0,8.0,32.0,64.0,0.1189562922793588,256.0,5.0,0.0009704385255636204,1,AdamW,10,True,COMPLETE
64,0.681757332359742,2026-05-06 21:05:24.674482,2026-05-06 21:05:41.246003,0 days 00:00:16.571521,0.39418586550356766,64.0,64.0,32.0,8.0,32.0,64.0,0.07415136444095777,256.0,5.0,0.0008718304890121957,1,AdamW,10,True,COMPLETE
97,0.6814378727029329,2026-05-06 21:12:57.428181,2026-05-06 21:13:13.408187,0 days 00:00:15.980006,0.4487603659201186,64.0,128.0,8.0,8.0,32.0,64.0,0.14264232317574116,256.0,3.0,0.00032665238526317783,1,Adam,10,True,COMPLETE
11,0.6794602653036388,2026-05-06 20:52:56.575265,2026-05-06 20:53:12.795722,0 days 00:00:16.220457,0.3652538463429065,64.0,64.0,32.0,32.0,32.0,64.0,0.02880242002605346,256.0,5.0,0.00021253787413522105,1,AdamW,10,True,COMPLETE
8,0.6747596446391627,2026-05-06 20:51:23.417635,2026-05-06 20:51:42.310768,0 days 00:00:18.893133,0.46415316921425187,32.0,32.0,64.0,8.0,32.0,16.0,0.20342827646588113,128.0,5.0,0.0003106554858581908,1,AdamW,10,True,COMPLETE
27,0.6708652792990142,2026-05-06 20:57:20.873921,2026-05-06 20:57:37.364692,0 days 00:00:16.490771,0.6879517617768361,64.0,128.0,8.0,8.0,32.0,16.0,0.1348306098975684,128.0,5.0,0.0015471512607949387,1,AdamW,10,True,COMPLETE
0,0.6691462820980894,2026-05-06 20:51:05.457287,2026-05-06 20:51:23.409453,0 days 00:00:17.952166,0.3260206371941118,64.0,64.0,32.0,32.0,32.0,64.0,0.01858016508799909,256.0,3.0,0.00032925293631105276,1,AdamW,10,True,COMPLETE
78,0.6619051965437508,2026-05-06 21:08:27.373685,2026-05-06 21:08:44.120652,0 days 00:00:16.746967,0.5222866004386941,64.0,64.0,32.0,16.0,32.0,64.0,0.06395128181844735,256.0,5.0,0.0007658764115064241,1,AdamW,10,True,COMPLETE
16,0.656748204940976,2026-05-06 20:54:18.647576,2026-05-06 20:54:35.318119,0 days 00:00:16.670543,0.38185066716796634,64.0,64.0,32.0,32.0,128.0,32.0,0.0002600977282807282,64.0,5.0,0.00010270783862477492,1,AdamW,10,True,COMPLETE
14,0.6538730680296946,2026-05-06 20:53:45.382072,2026-05-06 20:54:01.926725,0 days 00:00:16.544653,0.43832538328691756,64.0,16.0,16.0,4.0,32.0,64.0,0.02408792216164901,256.0,7.0,0.0013631992577885484,1,AdamW,10,True,COMPLETE
12,0.6512109042229526,2026-05-06 20:53:12.797723,2026-05-06 20:53:28.599740,0 days 00:00:15.802017,0.4621770294226494,128.0,32.0,64.0,32.0,128.0,64.0,0.13840480129319302,256.0,5.0,0.00015673817266173473,1,AdamW,10,True,COMPLETE
10,0.646017968631034,2026-05-06 20:52:19.917797,2026-05-06 20:52:56.573265,0 days 00:00:36.655468,0.6102873485154936,32.0,32.0,8.0,16.0,32.0,16.0,0.32344387953102394,128.0,5.0,0.003814827885065846,1,AdamW,5,False,COMPLETE
9,0.6432198873153647,2026-05-06 20:51:42.312769,2026-05-06 20:52:19.916796,0 days 00:00:37.604027,0.3147547789418131,32.0,128.0,64.0,8.0,64.0,32.0,0.1988994023569542,64.0,3.0,0.0002974486379287085,1,Adam,5,True,COMPLETE
69,0.6430418644274065,2026-05-06 21:06:10.550897,2026-05-06 21:06:29.813185,0 days 00:00:19.262288,0.43306482189492385,32.0,128.0,8.0,4.0,64.0,64.0,0.38363098011724184,256.0,5.0,0.00040172727593949196,1,AdamW,10,True,COMPLETE
15,0.5959748083242059,2026-05-06 20:54:01.927724,2026-05-06 20:54:18.646576,0 days 00:00:16.718852,0.5672996189354788,64.0,16.0,16.0,8.0,32.0,16.0,0.07757682622164222,128.0,5.0,0.0010629254398229328,1,Adam,10,False,COMPLETE
