number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_conv_channels_1,params_conv_channels_2,params_conv_channels_3,params_disc_hidden_1,params_disc_hidden_2,params_dropout,params_fusion_hidden,params_kernel_size,params_lr,params_n_conv_layers,params_optimizer,params_stride,params_use_batchnorm,params_window_size,state
83,0.733387305699482,2026-05-06 16:35:46.257003,2026-05-06 16:36:21.351612,0 days 00:00:35.094609,0.15715068919343553,32.0,64.0,8.0,8.0,64.0,32.0,0.19208391958076154,256.0,5.0,0.00010232429328221492,1,AdamW,5,False,60,COMPLETE
81,0.7306059297639609,2026-05-06 16:34:37.022711,2026-05-06 16:35:11.036322,0 days 00:00:34.013611,0.16774656391382445,32.0,64.0,8.0,8.0,64.0,32.0,0.20187142113440149,256.0,5.0,0.00015950491460228088,1,AdamW,5,False,60,COMPLETE
71,0.7217364709268853,2026-05-06 16:30:09.674886,2026-05-06 16:30:41.667432,0 days 00:00:31.992546,0.18856578166266458,64.0,64.0,8.0,8.0,64.0,32.0,0.22459894825754537,256.0,5.0,0.00011295261117155022,1,AdamW,5,True,60,COMPLETE
98,0.7115680771445021,2026-05-06 16:43:43.397099,2026-05-06 16:44:17.873953,0 days 00:00:34.476854,0.20718759780657114,32.0,64.0,32.0,8.0,64.0,32.0,0.071987019822965,256.0,5.0,0.0001920140154606705,1,AdamW,5,False,60,COMPLETE
78,0.7060017271157167,2026-05-06 16:33:11.700998,2026-05-06 16:33:47.129487,0 days 00:00:35.428489,0.16710834813681846,32.0,64.0,8.0,8.0,64.0,32.0,0.19533742827240969,256.0,5.0,0.00010161691051027828,1,AdamW,5,True,60,COMPLETE
9,0.7028112449799196,2026-05-06 16:05:32.214386,2026-05-06 16:05:47.857451,0 days 00:00:15.643065,0.49401415505509116,64.0,32.0,16.0,32.0,32.0,64.0,0.3179245214166594,128.0,5.0,0.00010997959032388709,1,Adam,10,False,30,COMPLETE
21,0.7014896373056995,2026-05-06 16:10:00.610534,2026-05-06 16:10:31.421639,0 days 00:00:30.811105,0.246548870518719,64.0,32.0,64.0,8.0,32.0,64.0,0.26420963053497404,128.0,5.0,0.00041223316735137524,1,AdamW,5,True,60,COMPLETE
43,0.7013960852043755,2026-05-06 16:19:37.439273,2026-05-06 16:20:08.658723,0 days 00:00:31.219450,0.2958247550150737,64.0,32.0,8.0,32.0,32.0,64.0,0.2533632105938121,128.0,5.0,0.00021778355005848797,1,AdamW,5,True,60,COMPLETE
42,0.7012377662636731,2026-05-06 16:19:06.290061,2026-05-06 16:19:37.437771,0 days 00:00:31.147710,0.2417716934807739,64.0,32.0,8.0,8.0,32.0,64.0,0.25727055831148093,128.0,5.0,0.00013913756758525392,1,AdamW,5,True,60,COMPLETE
67,0.6998236902705814,2026-05-06 16:28:37.943170,2026-05-06 16:29:08.719859,0 days 00:00:30.776689,0.13196727377217604,64.0,64.0,8.0,8.0,64.0,32.0,0.2888040339659818,256.0,5.0,0.0006071266185782163,1,AdamW,5,True,60,COMPLETE
64,0.6989529360967185,2026-05-06 16:27:10.589787,2026-05-06 16:27:42.076880,0 days 00:00:31.487093,0.19571304386425037,64.0,32.0,8.0,8.0,32.0,64.0,0.310664545330888,128.0,5.0,0.00012024777551104392,1,AdamW,5,True,60,COMPLETE
33,0.6960636154289005,2026-05-06 16:15:33.535321,2026-05-06 16:16:04.275583,0 days 00:00:30.740262,0.2619217025026951,64.0,32.0,16.0,8.0,32.0,64.0,0.30258256370290126,128.0,5.0,0.0001415925228978532,1,AdamW,5,True,60,COMPLETE
23,0.694512809441566,2026-05-06 16:11:01.933375,2026-05-06 16:11:33.337756,0 days 00:00:31.404381,0.306403027372995,64.0,32.0,64.0,8.0,32.0,64.0,0.2398120777882174,128.0,5.0,0.00038829078077239667,1,AdamW,5,True,60,COMPLETE
41,0.6944732297063902,2026-05-06 16:18:35.605831,2026-05-06 16:19:06.288556,0 days 00:00:30.682725,0.22602057950879872,64.0,32.0,8.0,8.0,32.0,64.0,0.3253401006342284,128.0,5.0,0.0001325583936815067,1,AdamW,5,True,60,COMPLETE
53,0.6927245250431779,2026-05-06 16:23:03.449741,2026-05-06 16:23:34.980443,0 days 00:00:31.530702,0.1984511637224807,64.0,32.0,16.0,8.0,32.0,64.0,0.2822789477960697,128.0,5.0,0.0001226564404152701,1,AdamW,5,True,60,COMPLETE
11,0.6926057858376511,2026-05-06 16:06:19.305485,2026-05-06 16:06:50.646891,0 days 00:00:31.341406,0.21370194442954546,64.0,32.0,32.0,8.0,32.0,64.0,0.3246874921729113,128.0,5.0,0.00010135429784515733,1,AdamW,5,True,60,COMPLETE
36,0.691204210782524,2026-05-06 16:17:03.162221,2026-05-06 16:17:18.788829,0 days 00:00:15.626608,0.13994104111671385,64.0,32.0,16.0,32.0,32.0,64.0,0.21037225062376394,128.0,5.0,0.000289657581568648,1,AdamW,10,True,30,COMPLETE
32,0.6911125503742085,2026-05-06 16:15:02.375395,2026-05-06 16:15:33.533321,0 days 00:00:31.157926,0.17568624215486783,64.0,32.0,32.0,8.0,32.0,64.0,0.3614724737903802,128.0,5.0,0.00024218597353548808,1,AdamW,5,True,60,COMPLETE
12,0.6891623488773747,2026-05-06 16:06:50.649396,2026-05-06 16:07:21.912617,0 days 00:00:31.263221,0.2563755802630572,64.0,32.0,64.0,8.0,32.0,64.0,0.27230859566790677,128.0,5.0,0.00042355243260918594,1,AdamW,5,True,60,COMPLETE
22,0.6887557570523891,2026-05-06 16:10:31.422640,2026-05-06 16:11:01.931375,0 days 00:00:30.508735,0.17930765977071872,64.0,32.0,64.0,8.0,32.0,64.0,0.32132898730289006,128.0,5.0,0.0001812944429975993,1,AdamW,5,True,60,COMPLETE
10,0.6886729994242948,2026-05-06 16:05:47.858451,2026-05-06 16:06:19.303486,0 days 00:00:31.445035,0.24403322139607198,64.0,32.0,32.0,8.0,32.0,64.0,0.32588239250155693,128.0,5.0,0.0001128592210154272,1,AdamW,5,True,60,COMPLETE
20,0.6885572593403918,2026-05-06 16:09:44.582015,2026-05-06 16:10:00.608531,0 days 00:00:16.026516,0.37846556992215763,64.0,32.0,16.0,8.0,32.0,32.0,0.273878935209841,256.0,7.0,0.0010852033449315162,1,Adam,10,True,30,COMPLETE
17,0.6879183400267739,2026-05-06 16:09:12.282844,2026-05-06 16:09:28.780009,0 days 00:00:16.497165,0.5840140703415965,64.0,128.0,16.0,32.0,64.0,64.0,0.1969239274132276,128.0,5.0,0.0002084544061870879,1,Adam,10,False,30,COMPLETE
26,0.6855390040299367,2026-05-06 16:12:31.144946,2026-05-06 16:13:02.054885,0 days 00:00:30.909939,0.33906622224550703,64.0,64.0,64.0,4.0,32.0,64.0,0.2358584910764175,128.0,5.0,0.00034896920194567803,1,AdamW,5,True,60,COMPLETE
31,0.6797927461139897,2026-05-06 16:14:31.713590,2026-05-06 16:15:02.373395,0 days 00:00:30.659805,0.20817958035338824,64.0,32.0,32.0,8.0,32.0,64.0,0.3442956734045408,128.0,5.0,0.0001409013766112651,1,AdamW,5,True,60,COMPLETE
16,0.6743703223949338,2026-05-06 16:08:41.509122,2026-05-06 16:09:12.281844,0 days 00:00:30.772722,0.32490557395927555,128.0,32.0,64.0,16.0,32.0,64.0,0.1829669340138108,128.0,5.0,0.0005493982374983142,1,Adam,5,True,60,COMPLETE
69,0.672910004568296,2026-05-06 16:29:38.264219,2026-05-06 16:30:09.670885,0 days 00:00:31.406666,0.150613904440386,64.0,64.0,8.0,16.0,64.0,32.0,0.3153220954528397,256.0,5.0,0.0006233533552538121,1,AdamW,5,False,30,COMPLETE
13,0.6712291306850892,2026-05-06 16:07:21.913617,2026-05-06 16:07:53.649385,0 days 00:00:31.735768,0.41852841567653265,128.0,32.0,32.0,4.0,32.0,64.0,0.2322006993171121,128.0,5.0,0.0001052909610884601,1,AdamW,5,False,60,COMPLETE
35,0.6706715395157605,2026-05-06 16:16:32.656260,2026-05-06 16:17:03.160219,0 days 00:00:30.503959,0.27781792935946586,64.0,32.0,16.0,8.0,32.0,64.0,0.2990694170595898,128.0,5.0,0.0004901676938289573,1,AdamW,5,True,30,COMPLETE
49,0.6670548654244306,2026-05-06 16:21:20.424384,2026-05-06 16:21:37.986558,0 days 00:00:17.562174,0.43290415753928635,32.0,32.0,8.0,32.0,32.0,64.0,0.21559624683902787,64.0,5.0,0.0002207113924254366,1,AdamW,10,False,60,COMPLETE
5,0.6595353117092247,2026-05-06 16:04:59.525577,2026-05-06 16:05:14.775104,0 days 00:00:15.249527,0.6624151671161422,64.0,64.0,16.0,32.0,128.0,32.0,0.3771638815650077,256.0,3.0,0.000267775333103133,1,Adam,10,False,60,COMPLETE
27,0.6520041738629822,2026-05-06 16:13:02.056885,2026-05-06 16:13:33.072207,0 days 00:00:31.015322,0.4582840488865025,64.0,128.0,64.0,16.0,32.0,64.0,0.14553475350612863,128.0,5.0,0.0006369567030211144,1,Adam,5,False,60,COMPLETE
8,0.6473573729008513,2026-05-06 16:05:14.778606,2026-05-06 16:05:32.213386,0 days 00:00:17.434780,0.8203344457306644,32.0,16.0,16.0,32.0,128.0,16.0,0.09674091636018067,64.0,5.0,0.0017115000764688566,1,Adam,10,False,60,COMPLETE
14,0.6448977729098212,2026-05-06 16:07:53.650385,2026-05-06 16:08:10.391065,0 days 00:00:16.740680,0.10944038153624051,64.0,128.0,16.0,8.0,64.0,64.0,0.388021456496778,128.0,3.0,0.0037555914031679126,1,AdamW,10,True,30,COMPLETE
1,0.6421273031825796,2026-05-06 16:04:23.929162,2026-05-06 16:04:59.518571,0 days 00:00:35.589409,0.6832057344327899,32.0,64.0,8.0,32.0,128.0,32.0,0.00220884684944096,64.0,7.0,0.0001573468512939367,1,Adam,5,True,30,COMPLETE
0,0.5008059873344848,2026-05-06 16:03:41.016445,2026-05-06 16:04:23.926656,0 days 00:00:42.910211,0.8725056264596475,32.0,16.0,8.0,16.0,128.0,16.0,0.06820964947491662,256.0,5.0,0.0014537555576161927,1,Adam,5,False,60,COMPLETE
